;Name;Description;Followers
9094;Satalia Lithuania;We create software solutions that empower organisations to shift to artificial intelligence driven future;5
9095;Bayou Wolf Collective;Articles, reviews, and short stories from the writers and editors at Bayou Wolf Press;5
9096;CW: Math;Thoughts on Mathematics Education;5
9097;Thumbtack Engineering;From the Engineering team at Thumbtack;5
9098;Youthcast;Youthcast is a community of transformers. The life-changing kind. We share stories, insights, knowledge,hacks and strategies for you to do what you were meant to. Live your best life.;5
9099;Tamman Inc.;Tamman builds the inclusive web. Our mission-driven staff of talented designers, developers, and technologists are agents of change for our clients. Our digital experiences focus on function, beauty and performance. Technical Solutions. Made Human.;5
9100;10xcoder;Aims at making you a 10x knowledgeable and productive coder by teaching one concept at a time.;5
9101;The Front Row;Entertaining reviews for genre, art house, and foreign films.;5
9102;Alasco Tech;Engineering and Construction Challenges. Big and Small.;5
9103;The Monocle of Higher Ed;Watergating the Ivory Tower;5
9104;Mental Gearwheels;Just as a the toothed wheels of gear engage each other to change the direction of transmitted motion, this publication’s posts on philosophy, purpose, inspiration, technology, writing, and life are aimed to shift the perspective of readers to produce better results!;5
9105;SCICOMM;SCICOMM is a publication dedicated to sharing ideas on communicating science. We welcome scientists, science writers, science communicators and anyone passionate about sharing science to the world.;5
9106;Progressive By Design;An ongoing conversation on labour and economics;5
9107;BackendLab;Tutorials for Backendlab.app, the no code web app backend builder;5
9108;FunnelCake Marketing;We help business owners lay down the tech and start up leveling their business with custom built online marketing funnels, advertising, and education.;5
9109;Tech Decrypt;Tech Decrypt;5
9110;The History, Risk & Prediction of Earthquakes;With extreme earthquakes as illustrative examples, this publication analyses how georisk mitigation can be improved by following the motto “History, Risk, Prediction.”;5
9111;Brother Edgar;Stories of a Catholic religious;5
9112;Writings by JennyB;A publication of writings in self-help and personal development, all by JennyB;5
9113;BuiltOn;BuiltOn’s SMART API building blocks, integrations and webhooks let you customize digital services and create, train and automatically deploy personal recommenders, similarity models and complementary ML models all in one-step!;5
9114;theinsideoutside.com;Politics, power and society by Harry Scoffin;5
9115;50BurgersATL;"Wading in cholesterol; trying 50 of the best burgers in Atlanta, Georgia.";5
9116;OakCDL;Oakland Civic Design Lab;5
9117;Southern Cross Publications;Official publication of the Counter-Revolutionaries of the Southern Cross.;5
9118;Liz Hamburger;A collection of my thoughts, feelings and anything else I’ve wrote;5
9119;Living on the Run;Explore and rediscover your world one step at a time.;5
9120;dataminingwithMSITM;Exploring machine learning with MSITM ‘19;5
9121;Eschaton Magazine;Investigative reporting, essays, criticism, fiction and poetry.;5
9122;collectivelearning;3 R’s — Rethink Education, Redesign Learning, Redistribute Knowledge| Powered by Community;5
9123;Ben Pham Portfolio;Minneapolis Based UX Designer;5
9124;Indonesia-UK Infrastructure Assocation;We are a group of academics and practitioners who aim to bring together ideas and people for future collaboration in the infrastructure field;5
9125;Morehouse Advanced News Writing Fall 2018;Class project;5
9126;Outside the Pocket;A weekly page covering all things sports;5
9127;The Pith;Stories from the heartwood.;5
9128;fig40;Fig40 is an industrial design studio driven to developing relevant, sustainable and often award-winning, products that inspire collaboration. Collaboration between users. Collaboration between design and manufacturing.;5
9129;Outcomes HQ;We’re building the operating system for outcomes driven organizations.;5
9130;Yeah, I’ve been stung;true life, dating online in NYC;5
9131;Ruminate Bourbon;Bourbon reviews and stories on how to explore the world of bourbon.;5
9132;The Burke-Paine Society;The Burke-Paine Society is bringing together cross-partisan discussion groups across the nation.;5
9133;The Brigade;Design, development, strategy and badass culture.;5
9134;RayyGlobal;Unifying the global sharing economy;5
9135;Bulletproof;Curated BTS content for the discerning fan, or curious onlooker.;5
9136;Swope Design Blog;Product development and mechanical engineering tidbits;5
9137;Gravitywell UK;Let’s talk about tech, baby;5
9138;One Step at a Time Blog;Learning Blog | Book Summaries -> Chapter by Chapter | 🙂📖🚀🌍;5
9139;pilgrimHub;Christian worldview for the skeptic mind;5
9140;Immersive Learning;Thoughts, insights and real world experiences from the world of immersive learning. Anyone involved in teaching, training or any other form of learning knows that engagement with the learner is critical. Immersive learning uses storytelling, puzzles and technology to do that.;5
9141;Film Ready;Practical articles and guides on film and video marketing. Brought to you by Mission Based Projects.;5
9142;The Sheikh’s Wisdom;The Sheikh’s Wisdom;5
9143;TandemLaunch Blog;We turn research from the world’s best universities into exceptional consumer technology companies.;5
9144;jesparent;Magic power;5
9145;observing iterations;Things in tech change the most through iterations.;5
9146;EMINES DataLab;EMINES data science club;5
9147;Post-Mortem;Code post-mortem and personal debriefing.;5
9148;Revolve;Fleeting thoughts on anything that pops its head into existence.;5
9149;New Voices From the Global South;Development Experts Where it Matters;5
9150;Virtual Metaphysics;Looking at the future with large spoonfuls of creativity;5
9151;Design on the Mind;Created in 2017, this is a space where my lingering creative thoughts live and breathe. It’s an exploration of the design world, and a playground of ideas on how to build better experiences in the real-world.;5
9152;HowGood Ratings;The path to a more sustainable food system starts with transparency. HowGood is the largest database of sustainable food in the world. We independently research the environmental & social impact of food products, from farm to fork.;5
9153;Rootstock;A landscape architecture publication that shares fieldwork notes, experiment results, photo essays and research reviews.;5
9154;Voila! Photo Stories;Photo Stories by G3;5
9155;House Organ—The Ignota Media Blog;The Ignota Media Corporation is a new-media publisher for marginalized voices. Say hi—hello@ignota.media.;5
9156;Teddy Supply;B2B E-Commerce for the masses;5
9157;Games to try in XR Gaming;These are the games that we and other users loved playing in XR Gaming, as well as some insights into why they you should try them!;5
9158;NeuroPsyAntics;Personal/professional hybrid blog of Anu Kumar. Stories include research, scicomm, and culture.;5
9159;Staring Out The Window;Thoughts on living;5
9160;Coding for Sapiens;Coding for Sapiens is a human discussion group focused on coding core concepts, beyond any language, but English-speaking. We talk about design patterns, tricky algorithms, development approaches, coding styles, interfaces, user experience or anything that we can commit to git.;5
9161;Myatu’s;Myatu’s Tech Blog, from the site that has been wasting bits and bytes daily, since 2008.;5
9162;Mind Hero;Your Mindful Companion;5
9163;Geistiges Heilen;Bewusstsein der neuen Zeit;5
9164;Foggy Memories, Half Truths, and Falsehoods;The older I get, the foggier memories from my life become. I’m no longer sure how accurate my history, as I know it, is. These are those stories. I think.;5
9165;charlieplusmary;Amsterdam based platform inspiring fashion lovers worldwide to make Fair and Sustainable Fashion choices;5
9166;A Better Balance;A Better Balance is a non-profit legal team fighting to give American workers the time & flexibility they need to care for their families.;5
9167;Not Your Grandma’s Secretary;Helping executive assistants boost productivity, improve communication, and be resourceful AF.;5
9168;The Good, The Brad, and the Ugly;Bradley writes stuff.;5
9169;Unless a Grain of Wheat Falls;a collection of writings around the death of my father, around the changing of faith, of losing and finding;5
9170;Poverty Lessons;The Shepherd Higher Education Consortium on Poverty encourages the study of poverty as a complex social problem, by expanding and improving experiential learning opportunities for college students. These are their reflections.;5
9171;Tabletop Alley;Articles and writings to aid and supplement Tabletop Gaming and Roleplaying;5
9172;Heart and Humanity;One heart, many stories. Bringing diversity to life.;5
9173;kickandbackpack;Kickandbackpack showcases a completely different perspective of sports, travel & leisure. We thrust Africa 🌍 into the limelight & preach the make-believe of a die-hard fan.;5
9174;eatups;A movement for mindful eating. Enjoy food while helping each other make better food choices, for ourselves and for our planet.;5
9175;Holyfield;Sports & Culture;5
9176;DOU Insights;Insights;5
9177;boresha-tech;building smarter tools for agricultural economies;5
9178;LaughingWithDeath;Humor, death and book excerpts from: Bereaveability: Spending a Lifetime Avoiding the Reality of Your Death by M.J. Szimanski…ThatDeathBook.com;5
9179;The Catington Post;The online newspaper, all about CATS!;5
9180;Mindable Health;Mindable is an app to help you overcome anxiety by yourself, but not alone.;5
9181;Sitewire;We're a team of strategists, creative thinkers, digital craftsmen, and doers for hire. This publication is just a sample of our thoughts and insights into the state of digital and what the future might bring.;5
9182;Immersive Worldbuilding;Learning how to build immersive fantasy worlds for novels and roleplaying games;5
9183;Israel 2018;Israel Trip Dec. 2018;5
9184;The Calendar;Real life experiences, inspirations, motivations or just giggles.;5
9185;OneIsland;We create organic and biomorphic housing structures. We’re reconstructing how we as people live.;5
9186;Ben Papadopoulos;Linguist, Ph.D. Student at UC Berkeley;5
9187;The Pause Button;The Pause Button explores the intersection of entertainment, software, and socialization in video games, and the impact of the games industry on society;5
9188;The Badger Den;By ADHD brains for ADHD brains.;5
9189;hastyville;The Land of Fleeting Moments — A simulation formed by art, adventure and creativity;5
9190;Ticket Gate 19;First-person stories from the rails in China;5
9191;BREEZY MAGAZINE;Latest news for ethical fashion for the smart, compassionate consumer.;5
9192;Stand and Stare;Essays by Faraaz Ahmed;5
9193;Identify Her Daily;An online publication that tells stories from the voices and perspectives of women about the world around us.;5
9194;Nethues Technologies;Operating since 2001, Nethues is an established tech partner working towards web and app development.;5
9195;Everestate;Elevating the home buying experience.;5
9196;The Electric Road Trip;Dispatches from our 6,000-mile road trip in an electric car to answer the question: How will EVs change America?;5
9197;Transition Design: Decline of Pollinators;Transition Design is taught by Terry Irwin at Carnegie Mellon. This publication’s contributors include Carlie, Diana, Megan, Saloni, Krystal and Edwin. We are focused on the wicked problem of the pollinator decline.;5
9198;Wise Woman Woke;I have no idea where I’m going, I just know how to get there.;5
9199;Ecosystem of Lean Thinking;The argument for change;5
9200;Master of Some;Stories and musings at the intersection of technology, the arts, travel, and humanity;5
9201;Feminist Revolt;Canada-based feminist storytellers share their personal experiences, as well as share curated pieces.;5
9202;myCareer;We help young adults launch remarkable careers;5
9203;The Mom Life;Motherhood: A wild journey full of ups and downs and lots of iced coffee♡;5
9204;Ideas On Info;We are a small, independent website offering information and ideas on the world around us. We aim to produce our content in such a way as to provide a clear divide between what is fact and what is opinion.;5
9205;Writing the Big City: the Lower East Side;Writing the Big City (T2, June 2019) is a publication written by a body of high school students who study within The School of The New York Times. The class is taught by lead instructor Judith Matloff, assistant instructor Sousan Hammad, and teaching assistant Joseph Cohen.;5
9206;IATP;The Institute for Agriculture and Trade Policy works locally and globally at the intersection of policy and practice to ensure fair and sustainable food, farm and trade systems;5
9207;Writing Chicago;Writing the city and its publics;5
9208;A440 Collective;Tuned In to Musical Society;5
9209;éclairé;Jai Kotia and Rishika Bharti present éclairé, where you will find exciting articles about AI and concise reviews of technical papers in the field.;5
9210;tekhedz;Articles for developers and technical leaders about blockchain and related technologies;5
9211;Orthentix;Orthentix is a music producer and author living near Byron Bay, Australia. She is passionate about intersectional feminism, music production, musicology, and media ecology.;5
9212;SmartKarrot;Story and Ideas on challenges and solutions for customer engagement in various industries.;5
9213;Portfolio Philipp Hertel;Design Portfolio of Philipp Hertel. German Design Graduate;5
9214;AllergyBox;Insights and tips for food allergy humankind and their parents;5
9215;A FOCUS on DC Education;We support the public charter school sector in Washington DC by advocating for and strengthening autonomy, equity, quality, and choice. We envision a thriving charter sector that narrows the opportunity gap by offering high-quality options for all students.;5
9216;Basketball in a Nutshell;Basketball in a Nutshell;5
9217;Hatimeria;Premium eCommerce software house, eCommerce PWA pioneers, Magento, Akeneo, Symfony, React, Vue, Angular;5
9218;The Strategy Review;Strategic business & personal leadership augmented by data.;5
9219;Josef;Josef automates legal services, and makes legal help affordable, easy-to-use and accessible.;5
9220;Grow360;Online leadership development solutions for effective team performance;5
9221;The old noob;How trying to do less made me do better. The blog of a 30 going on 40 guy wanting to learn how to code and make a better use of his time. Avatar by Catkuro: https://www.flaticon.com/authors/catkuro;5
9222;Stonewall Democratic Club;Since 1975, the Stonewall Democratic Club has been the home for progressive Democrats who are lesbian, gay, bisexual, transgender, and straight allies of the LGBT community, and has been a powerful grassroots non-profit political organization seeking to effect political change.;5
9223;The Subvrsive Collection;We are an immersive innovation studio focused on creating content, software, and experiences that transform businesses on a global scale.;5
9224;Coder Chronicles;Thoughts on Designing and Building Digital Products;5
9225;auroradigitalhealth;We design and develop thoughtful web and mobile healthcare solutions, accessible to anyone, anywhere, at anytime. 👉 http://auroradigital.co;5
9226;Precognitive;Engineering the future of Cybersecurity and Fraud Prevention.;5
9227;AndWhatIThink;Stories About Experiences | A reality-check on the ups and downs of life, issues and hurdles through personal experiences.;5
9228;Dater’s Recourse;Stories and essays from a reformed serial dater to help you cope with dating in New York City.;5
9229;Diligences Inc.;Diligences is, first and foremost, a product development company. The team of passionate developers who love their job. We are paving the way for software development to be efficient, transparent, easy, and comfortable.;5
9230;CIEE Entrepreneur Lab;Get ahead with our six week international crash courses in London & Berlin;5
9231;Original Worth;Writings on mind, body, and soul. Best practices in positive psychology and behavioral neuroscience.;5
9232;idiomatic;Idiomatic;5
9233;Togethereum;People, product, and culture around Ethereum;5
9234;College Democrats at UAH;Young people at UAH interested in politics and advancing their values through the Democratic Party;5
9235;Teaminator;Leadership and teamwork stories from Teaminator;5
9236;Sown To Grow;Empower students to set goals, reflect on strategies, and learn how to learn;5
9237;Ben Starks Stats;A series of basketball analytics projects by Ben Starks;5
9238;renaissance: Q;Discovering what you love, when so much has changed.;5
9239;XYZ Type;The independent type foundry of Ben Kiel & Jesse Ragan;5
9240;The Occasional Tourist;A publication for the tourist in all of us. Follow to join our community.;5
9241;In Pursuit of Artificial Intelligence;人工知能への旅;5
9242;Conflict Resolution for People Who Hate Conflict;Tools and tips to help you navigate the next tough conversation;5
9243;Global Defence & Security Fund;An actively managed global sector fund investing in companies linked to the defence and security industry. We adhere to the highest ethical standards. Our proprietary screening and monitoring tool makes sure we follow, and in some cases even go beyond, UN conventions.;5
9244;42RoboLab;We specialize in Hardware and ML/AI;5
9245;Wide Island View;Written by and for Hiroshima JETs;5
9246;W23 Labs;Ideas and Findings from W23 Labs;5
9247;Kamu Data;A modern data science platform that puts “open” into open data;5
9248;Payoffs 💰;Payoffs  | Your hub for all things corruption, sanctions, and illicit finance;5
9249;The Query;Decrypting the DNS;5
9250;NomadInTheMiddle;Getting in the middle of the remote work and digital nomad revolution.;5
9251;51nodes;51nodes based in Stuttgart is a provider of crypto economy solutions. 51nodes supports companies and other organizations in realizing their Blockchain projects. We offer technical consulting and implementation with a focus on smart contracts, DApps and tokenization of assets;5
9252;reHeated;Food made with love is always fancy.;5
9253;Relative Insights;Musings from the engineering team at Relative;5
9254;Hristo Enchev Tech;Technical Rambles of a Tech Game Design Student and his portfolio;5
9255;Diving into Asia;“Diving into Asia” is aiming to provide insights on diverse fields such as culture, education, tech and finance in Asia. The objective is to better understand the fastest growing economy.;5
9256;Energy and Environment;Eyeing the rising environmental concerns, using alternative sources of energy.;5
9257;Claritask;Articles on working remotely, productivity, team management, and self care.;5
9258;Mapudo;Mapudo is the online metals marketplace in Germany;5
9259;Ravinder Singh Tanwar;The ardour to learn something new, each and very day is what makes him agile in the field of Digital Marketing.;5
9260;Expat Empire;Hear stories from expats around the world and discover how you can join them.;5
9261;The Data Guy;Finding cool insights with data;5
9262;ProductStudio;ProductStudio is a digital product and service studio that combines empathic design with technology;5
9263;At Scale;Where change-makers go to build insights-driven businesses. The official Medium publication for WiderFunnel.;5
9264;Patrick Whitehead;doing psychology outside the lines;5
9265;Marketing for Small Businesses;No buzzwords, no overcomplicated tools. This publication gathers content that is understandable for non-marketers (small business owners) so that they can get the most out of it.;5
9266;Voyages;The World is yours to see;5
9267;MNDFCK Podcast;MNDFCK — fill in the vowels — is a broadcast aimed at discovering how, in the midst of chaos, to live our safest, sanest, most consensual and sustainable lives.;5
9268;Change Your Palate to Save Our Planet;“Palate” is not only about taste preferences. It represents our affinities and preferences towards lot many other things which are part of our life. This publication explores how we can reduce our impact on Climate Change by Changing our Palates towards our Consumption Habits.;5
9269;Venwise;We are a curated community of business leaders. We solve executives’ toughest problems.;5
9270;WTFinance;WTFinance is home to insightful articles on finance, fintech, behavioral finance, economics, and financial politics, with a twist. It also hosts the occasional weekly column Friday Finance, a look back at the week in finance. There’s more to it than money.;5
9271;Embodied Thinking;Body, Mind and how it all translates into being authentically Human;5
9272;ClimateOrb;ClimateOrb utilizes data-driven methodologies to empower individuals and businesses with energy and CO2 reduction solutions.;5
9273;Undaaj;અંદાજ: meaning “approximate” in Gujarati, this blog provides a space for thoughts that are not necessarily fully formed, but also for some that are;5
9274;Cultural Panopticon;Musings on Art;5
9275;Self-Doubt Stare Down;Thoughts on writing and being creative while looking self-doubt square in the eyes;5
9276;Green Runner;A place to talk about all things running and the outdoors.;5
9277;Emvi;Upcoming knowledge management platform for companies and teams.;5
9278;The Science of Conversation;Language, technology, and the natural language processing;5
9279;Women Against Violence Experiment — W.A.V.E.;My findings about Latina women who are navigating  the choppy waters of the U.S. immigration system;5
9280;Jahia Techblog;We are Jahia’s passionate team of software engineers, devops, designers, product managers building the future of our digital experience platforms.;5
9281;Welded Thoughts;This is a network. And so is everything else. Welded Thoughts aims to shed light and inform by tieing ideas, concepts, and knowledge together — often from distinct domains.;5
9282;The Empty Hand;The history, philosophy, ideologies and practice of martial arts around the world.;5
9283;No Man’s Land;Blog & pod on politics and centrism. For those stuck between political trenches and watching. By @steve0neil,  @beardysocialist & @AkashPaun.;5
9284;PwC UK;We’re a diverse bunch of researchers, strategists, designers and technologists. We solve important challenges through the power of design. This is a collection of our rants, perspectives, thoughts, and workings.;5
9285;Wednesday Genius;Writing for Business, Pleasure and Profit;5
9286;Benya Draws;The journey of an adult beginner learning to draw.;5
9287;Alarmed Independents;Independent and Moderate Voters Alarmed by the Course of our Democracy;5
9288;The World Citizen;Fresh ideas for the greater good with a taste of Economics;5
9289;Dweeb Ideas;Big ideas, personal stories, and fun by dweebs for dweebs.;5
9290;TWB Tech Blog;Translators without Borders technology blog;5
9291;alien;opinions on global politics by a first-gen asian-american teen;5
9292;The Mystic’s Trove;Musings from the Mystic in Story and Poem.;5
9293;Innovation Incubator;We publish various articles on the latest technologies;5
9294;Leadership Notes;Stories about teams, careers and what means being a positive leader;5
9295;Mixpanel Engineering;Stories from eng @ Mixpanel! Join us at https://mixpanel.com/jobs!;5
9296;Going From Healthy To Healthier;Balance is not merely the absence of disease, it is a state where you feel healthy, light, energetic, happy, and at peace with yourself and the world.;5
9297;The Friday Post;Another Indian Muslim blog;5
9298;The Supersymmetry;Design beyond stereotypes.;5
9299;Cauldron Eats;Recipes to inspire, fufill and manifest;5
9300;Picquet;A war studies column;5
9301;Natural Leadership;Generating and improving a natural leadership style to easily motivate your people to achieve their goals.;5
9302;MoxieTalk with Kirt Jacobs;MoxieTalk.com (MoxieTalk with Kirt Jacobs)-a national talk show/podcast platform focused on the courage, character & defining moments of today’s most inspiring individuals. Each blog topic/subject was chosen for having demonstrated a deep level of personal or professional moxie.;5
9303;lifesuccesshappiness;Where everyday life meets success and happiness;5
9304;Featherstory;Synchronicity and the Sacred;5
9305;Retirement Type;An Inspired Journey to Early Retirement;5
9306;MyRepublic Blog;Tips, guides, observations and more from MyRepublic;5
9307;Everyday Life Uncluttered;Need a positivity boost? Then you’ve come to the right place. This is a publication for readers who want to focus on positive vibes and simple living.;5
9308;Skil-AI;Skil AI team Engineering Publications;5
9309;WAVES;We share the stories and frameworks behind ideas that were destined to take shape and the ripple effect they have on people, culture and innovation.;5
9310;Girl with Plant;All things urban, vertical and hydroponic farming.;5
9311;oneleif;Open Source Learning;5
9312;Saint Solaris;Saint Solaris exists to build equity and make positive social change.;5
9313;The Pie;Exploring the Ingredients of Today’s Mental Models and Emerging Improvements;5
9314;Discover Marketing;Social media, digital marketing, and copywriting tips;5
9315;A State of Wonder;Articles and guidance on Self Enquiry & the direct exploration of our subjective sense of being.;5
9316;Inside Elements;Learn about the many different aspects of global expansion and international HR from the team at elementsgs.com.;5
9317;Making Changes;Exploring what can be the best version of ourselves.;5
9318;Sunday Night in Books;What I am reading on Sunday nights. Summaries and reviews of good books in Business, Psychology, Philosophy, and Science.;5
9319;No More Bars;Love Recklessly, live forgiveness. Life is about progress.;5
9320;India Centre;India Centre reflects on Public Policy Issues and enriches India’s body politic. Each word reflects the personal viewpoint and world view of Rachit Seth.;5
9321;GLAMI.eco;Controvercial questions and recent news in the world of sustainable fashion;5
9322;Fintechtris;Connecting all Fintech blocks from AI, payments, and banking to blockchain;5
9323;Remote iOS Dev;Sharing information on remote work, iOS development, and developing a career as a developer.;5
9324;Healthily In Love;Inspiring healthier relationships and authentic ways to love;5
9325;DST 3880W — Spring 2020;Writing and Theory for Digital Media;5
9326;James Beard Foundation;Good food for good™ // www.jamesbeard.org;5
9327;The J Word;Read up about fashion marketing, fashion history, new collections, shoes, and streetwear;5
9328;Thinknum;Thinknum Engineering Blog;5
9329;People Things;Poetry;5
9330;The Scanner;Economic intelligence and economic warfare blog focused in innovation, to promote the improvement of orgs and individual strategies-Blog di intelligence e guerra economica dedicato all’innovazione per favorire il miglioramento delle strategie individuali e delle organizzazioni;5
9331;Stories for Earth;Stories for Earth is a podcast about stories that can help us develop emotional resilience in the face of the climate crisis.;5
9332;Is Consciousness;A publication about consciousness. What is it? What are the main theories about it? What are the main concepts central to consciousness? What are some interesting ideas cropping up related to consciousness research?;5
9333;C&F Data Driven Innovators;Tech company specialized in data & cloud engineering, mainly for regulated industries.;5
9334;City as Nature;Engaging stories. Creative actions. Ecological wellness. Together, we imagine the possible city.;5
9335;SoCyc;Societal Cycles;5
9336;The Florida Free Press;The Florida Free Press is an independent digital news source dedicated to fact-based reporting, candid debate and open discourse. Free speech. Free expression. Free press.;5
9337;World Outlook;An undergraduate journal of international affairs;5
9338;PlaceLab;Exploring the intersection of physical space and company culture.;5
9339;Sprightful;Rethink Energy.;5
9340;Springboard: Topics in Global Pediatric Surgery;The web publication of Childspring International. Bringing news, research, stories, and insight into the conversation on global surgery. Based in Atlanta, GA.;5
9341;Altluxe;The evolution of luxury;5
9342;Blvck Crown Clothing;Black Crown Clothing started in March of 2020. I created Blvck Crown Clothing as a way to show love to my communities and help amplify our voices. I am a black, transman who just happens to be chronically ill.;5
9343;Deep Learning for Cybersecurity;Deep Learning is disrupting cyber threat detection and analytics with faster and accurate analysis of network traffic and threat data in real-time.;5
9344;Part-Time Thinker;I’m only part-time because there are only so many hours. I’ll use this space as a sort of live journal to explore topics and issues I’m thinking about. In doing so I hope to refine my own positions and maybe even open your mind to new perspectives.;5
9345;This is Lagom;Your sustainable living destination featuring vegan recipes, natural beauty, brands, editorial and conversations for the curious. This is the modern lifestyle choice.;5
9346;The Creative Consultant;The creative consultant is a platform that promotes creative and innovative consulting. It aims at providing deeper insights into innovative thinking concepts, creative consulting models and techno consulting focusing both business and technological trends.;5
9347;Milieuu;Making the ordinary come to life.;5
9348;Edward Leoni;I teach nearly twenty thousand people online via Udemy. Are you one of them?;5
9349;Story Mode;Celebrating stories in video games;5
9350;anagram;Poetry, meditations, incantations, and experimentations.;5
9351;Wingspan Stories;One place for freelancers to manage income, benefits, and taxes.;5
9352;Miss T’s No-Bull Approach to Writing Creative Nonfiction, Memoir and Blogposts;Miss T has a no-nonsense — aka no-bull! — approach to writing.;5
9353;Wildbies Magazine;Sharing our love for nature. *We are looking for writers!;5
9354;SentiSum;Turn customer conversations into exceptional experiences with your personalised AI platform. www.sentisum.com;5
9355;Prolific Pulse;Thoughts, Art, Things;5
9356;Gamerly;All about games;5
9357;n8n.io;Free, open and self-hostable fair-code licensed workflow automation tool.;5
9358;Journey to becoming an Algoat;Follow along our journey in mastering algorithms.;5
9359;Krootl;Mobile App Development Agency;5
9360;The Korean Style — Hypermodernity  and the Art of Artifice;Defining the Korean Style across all the Ks;5
9361;Meal Hero;Turn ingredients into delicious meals using what you already have at home. mealhero.com;5
9362;The Weekly Short;Short stories by Parnell Piano;5
9363;InPursuit;InPursuit is a community and safe space where Agile practitioners can seek guidance and support, share their ideas, and experiment — all in the pursuit of better.;5
9364;Ecofrugality;Conserve resources, redistribute wealth, live happily;5
9365;Into The Discourse;Thoughts and speculation on movies, television, comics, anime, and more.;5
9366;Secular & Sensational;Writer and former classroom teacher Kelli Lynn Grey chronicles her experience of being secular in the South & homeschooling her neurologically divergent children while accommodating for sensory differences.;5
9367;FloQast Engineering;Think. Develop. Deploy. Repeat.;5
9368;40 Fathoms;Deep dives into sports, politics, and culture with offbeat humor.;5
9369;The Conscious Life Collective;The Conscious Life Collective is changing the world by connecting and bringing people together. We aim to empower people to make the lifestyle changes necessary to thrive.;5
9370;Don’t Code Me On That;Code fragments and comments;5
9371;UNIKIE;WE DRIVE THE CHANGE — We are a deep tech company specialized in self-driving vehicles, smart tech, telecom, machine learning, AI vision, and much more. Visit us at https://unikie.com;5
9372;LutherAI;Luther is a startup that integrates neuroscience, artificial intelligence, and ambient computing to solve the problem of the fallibility of human memory.;5
9373;SubpixelFilms.com;Stories Beneath the Surface;5
9374;Lightsnap;Lightsnap is bringing photos back to the photo album, you purchase a film roll in the app and receive 24 pictures to take as if it was a disposable camera. When you have finished taking your photos, we send you printed photos to your home address.;5
9375;Runic Software;Some learnings about how to make somethings work;5
9376;A Time to Dance;philosophical and spiritual thoughts on life;5
9377;a wandersick’s Tech Notes;"IT techniques in a different way; how-to articles and free utilities written by wandersick";5
9378;The Project Office;Thoughts and Ideas for Next-Generation Project Management.;5
9379;El Navigator;A personal blog with poems, short stories and photos.;5
9380;Oxford Semantic Technologies;"Oxford Semantic Technologies develop and license RDFox, a powerful graph database and semantic reasoning engine; created at the University of Oxford and mathematically validated.";5
9381;Full-Time;Full-time is a journey  of using an ipad pro as a main computing device;5
9382;Hoppinger;A collection of all our expert thoughts and insights on every aspect of digital transformation.;5
9383;Old Dev;Learn and Code, Code and Learn;5
9384;Broad Street Blog 2020;A series about politics and the virus as we’re living it.;5
9385;Shipharder.com;Features mindshaping content on how to build viable products;5
9386;Web For You;A blog by some students learning web development;5
9387;The Raw Camera — Von Cam;A raw review of diverse cameras and lenses. More of how the equipment feels than sole objective technical data, but hopefully useful.;5
9388;Earth To Abigail;Focused on the unusual and creative aspects of technology.;5
9389;Studiotypes;We hire exceptional talent for the World’s best gaming studios.;4
9390;TiyospayeNow;TiyospayeNow features the writing of journalist Jacqueline Keeler and other Native writers. Tiyospaye is Dakota for a circle of tipis where “all adults were responsible for the safety and happiness of their collective children.”;4
9391;Communication and Soft Skills;Articles offering advice and tips on various communication and interpersonal skills;4
9392;Practice of History, Spring 2019;History Research for a Public Audience;4
9393;The Homestead In The Hills;In 2019, Vahishta & Neha moved to the hills of Kodaikanal and started a homestead. This is their story.;4
9394;What To Do About…Everything;Conversations, advice, and practical solutions about dealing with shit — both big and little.;4
9395;WIFAXVC;Funding Growth, Equality, and Sustainability within Qualified Opportunity Zones. WIF AX, LLC (Women’s Innovation Fund Accelerator) is a Qualified Opportunity Fund building women-balanced and environmentally-sustainable organizations within QOZ’s nationwide.;4
9396;Excursus.;An excursus is nothing more than ideas trying to get away from the thoughts that spawned them in the first place.;4
9397;YWu’s Blog;Personal blog for Yingxin Wu, software engineer, this’s about what I learned and what I think.;4
9398;The Surge Tactic: All Things SEM & Digital Marketing;A stash of content related to the wonderful world of SEO, SEM and Digital Marketing. All from the perspective of a story-telling obsessed Digital Marketing Nerd.;4
9399;The Modern Feminine;A place for women seeking traditional femininity coupled with modern insight and values.;4
9400;Chasing Stardust;Ramblings of a human, being.;4
9401;Alt-Mirror;Severely Mentally Ill Life in Middle Age;4
9402;nicoleparmar;Nicole has held positions in hands-on execution of paid media campaigns, analytics reporting, technical analytics, growth marketing teaching and consulting.;4
9403;Sprout Legal;Little bits of legal for regular people;4
9404;Cyberius.com;A digital marketing company who specializes in content creation, online community management, and crowdfunding.;4
9405;Across The Line;For those who want to get things done;4
9406;UrbanNoise;Urban Noise is an open source project built latest technologies to provide a new way of visualizing noise in your city.;4
9407;Tomorrow never comes;I quit trying to do and decided to just be;4
9408;Vayo.io;Vayo lets you get things done rather than hop around between apps. See your most important tasks regardless of where or when they were created. Stay focused and get work done!;4
9409;Learning Futures;Designing the futures of learning and institutions of learning.;4
9410;headwayio;Insights and perspectives to help you navigate the ever changing seas of product strategy, design, and development.;4
9411;Notes From the Ether;A collection of poems by J.G. Forrester, concerning an eclectic variety of topics.;4
